,file_name,case_name,docket_number,Argued,Decided,Granted,first_party,first_party_label,second_party,second_party_label,winning_party,decision_type,majority_vote,minority_vote,advocate_0,advocate_description_0,advocate_1,advocate_description_1,advocate_2,advocate_description_2,advocate_3,advocate_description_3,advocate_4,advocate_description_4,advocate_5,advocate_description_5,advocate_6,advocate_description_6,advocate_7,advocate_description_7,advocate_8,advocate_description_8,advocate_9,advocate_description_9,advocate_10,advocate_description_10,advocate_11,advocate_description_11,advocate_12,advocate_description_12,advocate_13,advocate_description_13,advocate_14,advocate_description_14,advocate_15,advocate_description_15,john_m_harlan2,hugo_l_black,william_o_douglas,potter_stewart,william_j_brennan_jr,byron_r_white,earl_warren,tom_c_clark,abe_fortas,thurgood_marshall,harry_a_blackmun,lewis_f_powell_jr,william_h_rehnquist,john_paul_stevens,sandra_day_oconnor,antonin_scalia,anthony_m_kennedy,david_h_souter,clarence_thomas,ruth_bader_ginsburg,stephen_g_breyer,felix_frankfurter,harold_burton,stanley_reed,sherman_minton,arthur_j_goldberg,sonia_sotomayor,john_g_roberts_jr,samuel_a_alito_jr,warren_e_burger,elena_kagan,neil_gorsuch,brett_m_kavanaugh,charles_e_whittaker,petitioner_wins
27,1955.486,National Labor Relations Board v. Truitt Mfg. Company,486,-434224800.0,-430858800.0,,National Labor Relations Board,Petitioner,Truitt Mfg. Company,Respondent,National Labor Relations Board,majority opinion,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,,,majority,minority,,,,,,,,,,,,,,minority,majority,majority,majority,,,,,,,,,,1
28,1955.523,"Collins v. American Buslines, Inc.",523,-434224800.0,-433274400.0,,Collins,Petitioner,"American Buslines, Inc.",Respondent,Collins,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
29,1955.54,United States v. Green,54,-436903200.0,-434484000.0,,United States,Appellant,Green,Appellee,United States,majority opinion,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,minority,,,,minority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
30,1955.56,Murdock Acceptance Corporation v. United States,56,-436903200.0,-434484000.0,,Murdock Acceptance Corporation,Petitioner,United States,Respondent,Murdock Acceptance Corporation,per curiam,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,minority,majority,majority,majority,,,,,,,,,,1
31,1955.58,Ullmann v. United States,58,-444074400.0,-434484000.0,,Ullmann,Petitioner,United States,Respondent,,majority opinion,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,minority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
32,1955.6,Berra v. United States,60,-434484000.0,-431463600.0,,Berra,Petitioner,United States,Respondent,,majority opinion,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,minority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
33,1955.621,Reed v. Pennsylvania Railroad Company,621,-431377200.0,-427834800.0,,Reed,Petitioner,Pennsylvania Railroad Company,Respondent,Reed,majority opinion,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,minority,minority,minority,majority,,,,,,,,,,1
34,1955.71,Affronti v. United States,71,-445888800.0,-444160800.0,,Affronti,Petitioner,United States,Respondent,,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
35,1955.713,Kinsella v. Krueger,713,-431204400.0,-427834800.0,,"Kinsella, Warden",Petitioner,Krueger,Respondent,"Kinsella, Warden",majority opinion,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,minority,,,,minority,majority,,,,,,,,,,,,,,none,majority,majority,majority,,,,,,,,,,1
36,1955.74,United States v. Leslie Salt Company,74,-443988000.0,-436298400.0,,United States,Petitioner,Leslie Salt Company,Respondent,,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
37,1955.8,"Indian Towing Company, Inc. v. United States",8,-469908000.0,-445370400.0,,"Indian Towing Company, Inc.",Petitioner,United States,Respondent,"Indian Towing Company, Inc.",majority opinion,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,minority,,,,,,,,,,,,,,majority,minority,minority,minority,,,,,,,,,,1
38,1956.124,National Lead Company v. Commissioner of Internal Revenue,124,-411847200.0,-408391200.0,,National Lead Company,Petitioner,Commissioner of Internal Revenue,Respondent,,majority opinion,9.0,0.0,hilbert_p_zarky,for the respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,,,,,,,,,,,0
39,1956.132,Prince v. United States,132,-412020000.0,-405453600.0,,Prince,Petitioner,United States,Respondent,Prince,majority opinion,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,none,majority,,majority,,majority,majority,,,,,,,,,,,,,,majority,minority,majority,,,,,,,,,,,1
40,1956.1529999999998,Olin Mathieson Chemical Corp. v. National Labor Relations Board,153,-405194400.0,-405194400.0,,Olin Mathieson Chemical Corp.,Petitioner,National Labor Relations Board,Respondent,Respondent,per curiam,0.0,8.0,william_a_stuart,for the petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,minority,minority,,minority,,minority,minority,,,,,,,,,,,,,,minority,minority,,,,,,,,,,,,0
41,1956.162,Kremen v. United States,162,-404676000.0,-398804400.0,,Kremen,Petitioner,United States,Respondent,Kremen,per curiam,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,majority,,majority,minority,,,,,,,,,,,,,,majority,minority,,,,,,,,,,,none,1
42,1956.17,United States v. Bergh,17,-416948400.0,-413920800.0,,United States,Petitioner,Bergh,Respondent,United States,majority opinion,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,majority,,none,,majority,majority,,,,,,,,,,,,,,minority,minority,majority,,,,,,,,,,,1
43,1956.175,Sweezy v. New Hampshire,175,-404762400.0,-395780400.0,,Sweezy,Appellant,New Hampshire,Appellee,Sweezy,plurality opinion,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,majority,,majority,minority,,,,,,,,,,,,,,majority,minority,,,,,,,,,,,none,1
44,1956.18,United States v. Western Pacific Railroad Company,18,-416948400.0,-412711200.0,,United States,Petitioner,Western Pacific Railroad Company,Respondent,United States,majority opinion,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,minority,,none,,majority,majority,,,,,,,,,,,,,,majority,majority,none,,,,,,,,,,,1
45,1956.1989999999998,"Deen v. Gulf, Colorado & Santa Fe Railway Co.",199,-402429600.0,-401824800.0,,Earl R. Deen,Petitioner,"Gulf, Colorado & Santa Fe Railway Company",Respondent,Earl R. Deen,per curiam,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,none,minority,,,,,,,,,,,minority,1
46,1956.2,Mesarosh v. United States,20,-417380400.0,-415130400.0,,Mesarosh,Petitioner,United States,Respondent,Mesarosh,majority opinion,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,none,,majority,majority,,,,,,,,,,,,,,minority,minority,majority,,,,,,,,,,,1
47,1956.204,"Benz v. Compania Naviera Hidalgo, S. A.",204,-404676000.0,-401824800.0,,Benz,Petitioner,"Compania Naviera Hidalgo, S. A.",Respondent,,majority opinion,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,minority,,majority,,majority,majority,,,,,,,,,,,,,,majority,majority,,,,,,,,,,,none,0
48,1956.21,Bank of America National Trust & Savings Association v. Parnell,21,-416689200.0,-414439200.0,,Bank of America National Trust & Savings Association,Petitioner,Parnell,Respondent,Bank of America National Trust & Savings Association,majority opinion,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,minority,,majority,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,,,,,,,,,,,1
49,1956.25,Putnam v. Commissioner of Internal Revenue,25,-416775600.0,-412711200.0,,Putnam,Petitioner,Commissioner of Internal Revenue,Respondent,,majority opinion,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,,,,,,,,,,,0
50,1956.257,Haynes v. United States,257,-404762400.0,-402429600.0,,Haynes,Petitioner,United States,Respondent,Haynes,majority opinion,6.0,2.0,hilbert_p_zarky,for the respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,majority,minority,,,,,,,,,,,none,1
51,1956.26,Curcio v. United States,260,-402775200.0,-396385200.0,,Curcio,Petitioner,United States,Respondent,Curcio,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,majority,majority,,,,,,,,,,,majority,1
52,1956.265,United States v. American Freightways Co.,265,-408304800.0,-404848800.0,,United States,Appellant,American Freightways Co.,Appellee,,equally divided,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,none,none,,none,,none,none,,,,,,,,,,,,,,none,none,,,,,,,,,,,,0
53,1956.28,Guss v. Utah Labor Relations Board,280,-408909600.0,-403034400.0,,Guss,Appellant,Utah Labor Relations Board,Appellee,Guss,majority opinion,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,majority,,majority,minority,,,,,,,,,,,,,,majority,minority,,,,,,,,,,,none,1
54,1956.289,United States v. Turley,289,-408218400.0,-405453600.0,,United States,Appellant,Turley,Appellee,United States,majority opinion,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,minority,,majority,,majority,majority,,,,,,,,,,,,,,minority,majority,majority,,,,,,,,,,,1
55,1956.3,Nelson v. New York City,30,-414957600.0,-412106400.0,,Nelson,Appellant,New York City,Appellee,,majority opinion,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,,,,,,,,,,,0
56,1956.3039999999999,United States v. Calamaro,304,-404848800.0,-395780400.0,,United States,Petitioner,Calamaro,Respondent,,majority opinion,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,majority,minority,,,,,,,,,,,none,0
57,1956.31,Massachusetts Bonding & Ins. Company v. United States,31,-414871200.0,-412106400.0,,Massachusetts Bonding & Ins. Company,Petitioner,United States,Respondent,Massachusetts Bonding & Ins. Company,majority opinion,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,minority,,majority,minority,,,,,,,,,,,,,,minority,majority,minority,,,,,,,,,,,1
58,1956.31,Fourco Glass Company v. Transmirra Products Corporation,310,-402343200.0,-400014000.0,,Fourco Glass Company,Petitioner,Transmirra Products Corporation,Respondent,Fourco Glass Company,majority opinion,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,majority,majority,,,,,,,,,,,majority,1
59,1956.3210000000001,Thomson v. Texas & Pacific Railway Co.,321,-402343200.0,-401824800.0,,Ruby Neil Thomson,Petitioner,Taxas & Pacific Railway Company,Respondent,Ruby Neil Thomson,per curiam,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,none,majority,,,,,,,,,,,minority,1
60,1956.37,Baltimore & Ohio Railway Company v. Jackson,370,-402775200.0,-398804400.0,,Baltimore & Ohio Railway Company,Petitioner,Jackson,Respondent,,majority opinion,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,minority,minority,,,,,,,,,,,minority,0
61,1956.37,Nilva v. United States,37,-414439200.0,-405453600.0,,Allen I. Nilva,Petitioner,United States,Respondent,,majority opinion,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,minority,,minority,,minority,majority,,,,,,,,,,,,,,majority,majority,majority,,,,,,,,,,,0
62,1956.371,Lasky v. Commissioner of Internal Revenue,371,-404589600.0,-404244000.0,,Bessie Lasky and Jessie L. Lasky,Petitioner,Commissioner of Internal Revenue,Respondent,,per curiam,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,minority,,majority,,majority,majority,,,,,,,,,,,,,,majority,majority,,,,,,,,,,,,0
63,1956.38,Pollard v. United States,38,-412711200.0,-405453600.0,,Pollard,Petitioner,United States,Respondent,,majority opinion,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,minority,,minority,,minority,majority,,,,,,,,,,,,,,majority,majority,majority,,,,,,,,,,,0
64,1956.385,California v. Taylor,385,-402343200.0,-396990000.0,,California,Petitioner,Taylor,Respondent,,majority opinion,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,majority,,none,majority,,,,,,,,,,,,,,majority,majority,,,,,,,,,,,majority,0
65,1956.39,United States v. Plesha,39,-414871200.0,-409082400.0,,United States,Petitioner,Plesha,Respondent,,majority opinion,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,minority,minority,majority,,,,,,,,,,,0
66,1956.41,"Amalgamated Meat Cutters & Butcher Workmen of North America, Local No. 427, AFL v. Fairlawn Meats, Inc.",41,-408909600.0,-403034400.0,,"Amalgamated Meat Cutters & Butcher Workmen of North America, Local No. 427, AFL",Petitioner,"Fairlawn Meats, Inc.",Respondent,"Amalgamated Meat Cutters & Butcher Workmen of North America, Local No. 427, AFL",majority opinion,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,majority,,majority,minority,,,,,,,,,,,,,,majority,minority,,,,,,,,,,,none,1
67,1956.42,Webb v. Illinois Central Railroad Company,42,-412711200.0,-405453600.0,,Webb,Petitioner,Illinois Central Railroad Company,Respondent,Webb,majority opinion,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,none,majority,minority,,,,,,,,,,,1
68,1956.4260000000002,Blackburn v. Alabama,426,-399754800.0,-395780400.0,,Blackburn,Petitioner,Alabama,Respondent,Blackburn,per curiam,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,minority,,minority,,majority,majority,,,,,,,,,,,,,,majority,majority,,,,,,,,,,,majority,1
