,file_name,advocate,advocate_label
121,1971.70-267,william_terry_bray,behalf_petitioner
122,1971.70-27,robert_eugene_smith,behalf_petitioner
123,1971.70-28,matthew_j_zinn,behalf_petitioner
124,1971.70-283,donald_a_browne,behalf_petitioner
125,1971.70-286,louis_s_goldberg,behalf_petitioner
126,1971.70-29,james_m_larossa,behalf_petitioner
127,1971.70-295,henry_harfield,behalf_petitioner
128,1971.70-305,ernest_j_brown,behalf_petitioner
129,1971.70-314,harry_m_cross_jr,behalf_respondent
130,1971.70-32,norton_j_come,behalf_petitioner
131,1971.70-34,leland_r_selna_jr,behalf_petitioner
132,1971.70-36,w_o_shafer,behalf_petitioner
133,1971.70-38,samuel_huntington,behalf_petitioner
134,1971.70-4,charles_s_stout,behalf_respondent
135,1971.70-46,william_bradford_reynolds,behalf_petitioner
136,1971.70-47,leo_pfeffer,behalf_petitioner
137,1971.70-49,maxwell_m_blecher,behalf_petitioner
138,1971.70-5004,irvin_b_charne,behalf_petitioner
139,1971.70-5009,frank_e_spencer,behalf_petitioner
140,1971.70-5012,neal_p_rutledge,behalf_petitioner
141,1971.70-5014,patrick_t_murphy,behalf_petitioner
142,1971.70-5025,stanley_a_bass,behalf_petitioner
143,1971.70-5030,samuel_s_jacobson,behalf_petitioner
144,1971.70-5037,nathan_lewin,behalf_petitioner
145,1971.70-5038,edward_m_genson,behalf_petitioner
146,1971.70-5040,henry_f_field,behalf_petitioner
147,1971.70-5041,robert_g_bowers,behalf_petitioner
148,1971.70-5055,phillip_a_hubbart,behalf_petitioner
149,1971.70-5058,david_m_lesser,behalf_petitioner
150,1971.70-5064,steven_j_cole,behalf_petitioner
151,1971.70-5082,jon_d_noland,behalf_petitioner
152,1971.70-5097,john_louis_smith_jr,behalf_petitioner
153,1971.70-5106,sophia_h_hall,behalf_petitioner
154,1971.70-5112,vanue_b_lacour,behalf_petitioner
155,1971.70-5122,rodger_n_bowman,behalf_petitioner
156,1971.70-52,matthew_j_zinn,behalf_petitioner
157,1971.70-53,richard_b_stone,behalf_petitioner
158,1971.70-5344,e_freeman_leverett,behalf_petitioner
159,1971.70-5388,john_t_cabaniss,behalf_petitioner
160,1971.70-55,w_o_shultz_ii,behalf_petitioner
161,1971.70-58,michael_b_standard,behalf_petitioner
162,1971.70-6,david_a_scholl,behalf_petitioner
163,1971.70-60,arnold_bauman,behalf_petitioner
164,1971.70-61,erwin_n_griswold,behalf_petitioner
165,1971.70-66,donald_a_schabel,behalf_petitioner
166,1971.70-7,frank_g_whalen,behalf_petitioner
167,1971.70-70,harold_l_russell,behalf_respondent
168,1971.70-71,roger_a_pauley,behalf_petitioner
169,1971.70-75,harry_j_rubin,behalf_respondent
170,1971.70-77,jacob_l_safron,behalf_petitioner
171,1971.70-78,parker_m_nielson,behalf_petitioner
172,1971.70-82,howard_e_shapiro,behalf_petitioner
173,1971.70-85,edgar_a_zingman,behalf_petitioner
174,1971.70-86,allan_a_tuttle,behalf_petitioner
175,1971.70-87,richard_l_curry,behalf_petitioner
176,1971.70-9,george_r_nock,behalf_petitioner
177,1971.70-92,michael_n_khourie,behalf_respondent
178,1971.70-93,lawrence_g_wallace,behalf_petitioner
179,1971.70-94,william_bradford_reynolds,behalf_ac_neutral
180,1971.70-96,john_j_irwin_jr,behalf_petitioner
181,1971.70-97,martin_m_lucente,behalf_petitioner
182,1971.70-98,irving_anolik,behalf_petitioner
183,1971.71-11,edward_g_collister_jr,behalf_petitioner
184,1971.71-119,joseph_l_rauh_jr,behalf_petitioner
185,1971.71-16,daniel_m_friedman,behalf_petitioner
186,1971.71-162,charles_a_bleck,behalf_petitioner
187,1971.71-227,samuel_huntington,behalf_petitioner
188,1971.71-237,maria_l_marcus,behalf_petitioner
