file_name,section,speaker_id,speaker_name,speaker_role,start,stop,text
1977.76_orig,0,15073,warren_e_burger,scotus_justice,0.0,10.106,We will hear arguments first this morning in State of California against the State of Texas and original jurisdiction case.
1977.76_orig,0,30239,jerome_b_falk_jr,,13.904,17.096,Thank you Mr. Chief Justice and may it please the Court.
1977.76_orig,1,30676,john_l_hill,,1554.548,1561.757,Mr. Chief Justice and may it please the Court.
1977.76_orig,2,30239,jerome_b_falk_jr,,3072.543,3075.432,Yes I do Mr Chief Justice.
1977.76_orig,2,15043,potter_stewart,scotus_justice,3109.656,3119.642,Mr Falk if your complaint is filed and an answer is filed and the matter is referred to a master what will the issue be? Issue over issues?
1977.76_orig,2,30239,jerome_b_falk_jr,,3119.642,3126.658,Justice Stewart I suppose the Court could go beyond the pleadings and resolve the question of where he was domiciled.
1977.76_orig,2,15043,potter_stewart,scotus_justice,3145.328,3147.096,So they won't be very--?
1977.76_orig,2,30239,jerome_b_falk_jr,,3151.395,3152.981,That is correct.
